Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/PSX/Manuals/007 - The World is Not Enough.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F007%20-%20The%20World%20is%20Not%20Enough.pdf,5063456,0262dc6ec2f764ac82d08a5bb3681e2c,,,007 - The World is Not Enough.pdf
docs/PSX/Manuals/007 - Tomorrow Never Dies.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F007%20-%20Tomorrow%20Never%20Dies.pdf,3620445,71edeab5b353b020a27fcac1a14f9593,,,007 - Tomorrow Never Dies.pdf
docs/PSX/Manuals/007 Racing.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F007%20Racing.pdf,4901690,5a0be0940e7c826fe055873dfc478be8,,,007 Racing.pdf
docs/PSX/Manuals/101 Dalmatians II - Patch's London Adventure.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F101%20Dalmatians%20II%20-%20Patch_s%20London%20Adventure.pdf,5055224,867e528cee54a943142d70a7fec28a74,,,101 Dalmatians II - Patch_s London Adventure.pdf
docs/PSX/Manuals/102 Dalmatians - Puppies to the Rescue.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F102%20Dalmatians%20-%20Puppies%20to%20the%20Rescue.pdf,4881630,5b1292532ae7d9c5821f7c192741ce1d,,,102 Dalmatians - Puppies to the Rescue.pdf
docs/PSX/Manuals/1Xtreme.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F1Xtreme.pdf,3770827,cb7132f67c04de617380a67cd2667b53,,,1Xtreme.pdf
docs/PSX/Manuals/2002 FIFA World Cup.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F2002%20FIFA%20World%20Cup.pdf,5049264,793c8204c1defcc4240b33b89fb926af,,,2002 FIFA World Cup.pdf
docs/PSX/Manuals/2Xtreme.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F2Xtreme.pdf,3937310,cc43bc6f93a2f4412a1dd535b4b8c456,,,2Xtreme.pdf
docs/PSX/Manuals/3D Baseball.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F3D%20Baseball.pdf,5092901,1f49a527b480a2b30be640095c5715a1,,,3D Baseball.pdf
docs/PSX/Manuals/3D Lemmings.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F3D%20Lemmings.pdf,3947339,0a0f1ec02458d3dd13e0442fe22884c5,,,3D Lemmings.pdf
docs/PSX/Manuals/3Xtreme.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F3Xtreme.pdf,4140489,453e4f0a158ea9ed6435ef4393a75568,,,3Xtreme.pdf
docs/PSX/Manuals/40 Winks.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2F40%20Winks.pdf,8886627,1e769fcc93a1040f75b8b5e51e567ec2,,,40 Winks.pdf
"docs/PSX/Manuals/A-Train - Trains, Power, Money.pdf",https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FA-Train%20-%20Trains%2C%20Power%2C%20Money.pdf,8887945,f19e0a11f8d51f40101ef1ca1993d9f9,,,"A-Train - Trains, Power, Money.pdf"
docs/PSX/Manuals/ATV Mania.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FATV%20Mania.pdf,2904737,6a195b8bccf8227bc46e957e71b549f5,,,ATV Mania.pdf
docs/PSX/Manuals/ATV Quad Power Racing.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FATV%20Quad%20Power%20Racing.pdf,3477673,02ce5c7b6ddcba96a054ec3fd8094605,,,ATV Quad Power Racing.pdf
docs/PSX/Manuals/ATV Racers.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FATV%20Racers.pdf,2105080,d8f56ec33a50969f507ea80d003da4ec,,,ATV Racers.pdf
docs/PSX/Manuals/Ace Combat 2.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAce%20Combat%202.pdf,4656701,ce50180ce3218ea168df659b5683713d,,,Ace Combat 2.pdf
docs/PSX/Manuals/Ace Combat 3 - Electrosphere.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAce%20Combat%203%20-%20Electrosphere.pdf,3019870,3e595b9dcc3b9a1a59c0275448e10fe8,,,Ace Combat 3 - Electrosphere.pdf
docs/PSX/Manuals/Aces of the Air.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAces%20of%20the%20Air.pdf,3196308,45e26046041a20b9192d6e32ffac0d32,,,Aces of the Air.pdf
docs/PSX/Manuals/Action Bass.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAction%20Bass.pdf,3200327,6df2acc9aeb248053c5e075babe7f153,,,Action Bass.pdf
docs/PSX/Manuals/Action Man - Operation Extreme.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAction%20Man%20-%20Operation%20Extreme.pdf,3891300,4820a51db0d3c91473202c1766c4d8e3,,,Action Man - Operation Extreme.pdf
docs/PSX/Manuals/Activision Classics.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FActivision%20Classics.pdf,7269819,fbd8803cb28b55d800abbed551a56fa3,,,Activision Classics.pdf
docs/PSX/Manuals/Actua Soccer 3.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FActua%20Soccer%203.pdf,4535948,8a091b87b18d600300a6410088efaa47,,,Actua Soccer 3.pdf
docs/PSX/Manuals/Adidas Power Soccer 98.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAdidas%20Power%20Soccer%2098.pdf,6833939,14375f983a871539c5296dacce8c6fd3,,,Adidas Power Soccer 98.pdf
docs/PSX/Manuals/Adidas Power Soccer.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAdidas%20Power%20Soccer.pdf,3438998,b38942f1eae9157dbfd28304c8576ef4,,,Adidas Power Soccer.pdf
docs/PSX/Manuals/Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAdvanced%20Dungeons%20%26%20Dragons%20-%20Iron%20%26%20Blood%20-%20Warriors%20of%20Ravenloft.pdf,5107252,5ea856685ff630c7c8895940f6380b6b,,,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft.pdf
"docs/PSX/Manuals/Adventures of Lomax, The.pdf",https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAdventures%20of%20Lomax%2C%20The.pdf,5045086,6b6c94cbb063527575d582da9ee0c777,,,"Adventures of Lomax, The.pdf"
docs/PSX/Manuals/Agile Warrior - F-111X.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAgile%20Warrior%20-%20F-111X.pdf,3648858,ab51ca5cfcd96d3dbb9590bb6c9114d8,,,Agile Warrior - F-111X.pdf
docs/PSX/Manuals/Air Combat.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAir%20Combat.pdf,1838653,6c236df01749ddda80c00984efd00b99,,,Air Combat.pdf
docs/PSX/Manuals/Air Hockey.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAir%20Hockey.pdf,4391947,2f469d0f67e3b2b25d1b0f8cf4183fa6,,,Air Hockey.pdf
docs/PSX/Manuals/Akuji the Heartless.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAkuji%20the%20Heartless.pdf,3401549,40b3184238df5bfd0be582f4e4f689d9,,,Akuji the Heartless.pdf
docs/PSX/Manuals/Aladdin in Nasira's Revenge.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAladdin%20in%20Nasira_s%20Revenge.pdf,7120804,2f0798ed0327ef861912f443dc93331a,,,Aladdin in Nasira_s Revenge.pdf
docs/PSX/Manuals/Alexi Lalas International Soccer.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAlexi%20Lalas%20International%20Soccer.pdf,4103206,a5774cb1bbda4157025fa066304bd430,,,Alexi Lalas International Soccer.pdf
docs/PSX/Manuals/Alien Resurrection.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAlien%20Resurrection.pdf,5951635,cd7e61c0a26797599fbea03739c4ce14,,,Alien Resurrection.pdf
docs/PSX/Manuals/Alien Trilogy.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAlien%20Trilogy.pdf,3573534,5f7b89437576df4a11ed6dc512116b76,,,Alien Trilogy.pdf
docs/PSX/Manuals/All-Star Baseball 97 featuring Frank Thomas.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAll-Star%20Baseball%2097%20featuring%20Frank%20Thomas.pdf,8703023,630d5165a68fd08550a40687536eced3,,,All-Star Baseball 97 featuring Frank Thomas.pdf
docs/PSX/Manuals/All-Star Racing 2.pdf,https://archive.org/download/mister-manuals/1995_Sony%20PlayStation.zip/1995_Sony%20PlayStation%2FAll-Star%20Racing%202.pdf,4363325,1eba95e37223f44ff5d12f23d9cbd091,,,All-Star Racing 2.pdf
